Date,HUR-OBS,HUR-FCST,MTB-OBS,MTB-FCST,WAP-OBS,WAP-FCST,STV-OBS,STV-FCST,SNO-OBS,SNO-FCST,LVN-OBS,LVN-FCST,MIS-OBS,MIS-FCST,CMT-OBS,CMT-FCST,PAR-OBS,PAR-FCST,WHP-OBS,WHP-FCST,TML-OBS,TML-FCST,MHM-OBS,MHM-FCST
12/24/2018,1.08,0.05,0.72,0.15,0.17,0.69,0.50,1.34,1.06,1.51,nan,0.00,0.03,0.18,,0.86,1.32,3.17,nan,1.47,2.90,2.03,2.19,2.03
12/25/2018,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,,0.00,0.03,0.00,nan,0.00,0.22,0.03,0.06,0.04
12/26/2018,0.00,0.02,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.01,nan,0.00,0.00,0.00,0.00,0.00,0.01,0.61,0.13,0.01,0.00,0.00,0.00,0.01
12/27/2018,0.16,0.32,0.23,0.97,0.10,0.30,0.26,0.65,0.47,1.16,nan,0.00,0.03,0.14,0.38,0.44,1.44,1.16,0.05,0.53,1.43,1.87,0.92,1.60
12/28/2018,0.11,0.02,0.03,0.00,0.00,0.00,0.00,0.01,0.01,0.02,nan,0.00,0.00,0.00,0.04,0.05,0.05,0.00,0.09,0.00,0.33,0.01,0.11,0.00
12/29/2018,0.38,0.49,0.73,0.79,0.12,0.42,0.60,1.41,1.72,2.53,nan,0.00,0.00,0.22,0.36,0.72,1.24,2.61,0.34,1.18,0.34,1.19,0.25,1.09
12/30/2018,0.75,0.57,1.83,0.71,0.53,0.82,2.54,1.59,2.54,1.70,nan,0.00,0.25,0.61,0.83,0.44,1.32,1.29,0.89,1.34,3.10,3.01,2.57,2.79
12/31/2018,0.06,0.00,0.00,0.02,0.13,0.03,0.20,0.33,0.45,0.51,nan,0.00,0.02,0.03,0.54,0.26,0.39,0.30,0.13,0.08,1.41,0.77,0.75,0.89
1/1/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/2/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/3/2019,0.60,0.29,1.41,1.29,0.25,0.40,0.54,0.22,0.42,0.11,nan,0.00,0.00,0.00,0.02,0.00,0.40,0.02,0.03,0.00,0.00,0.00,0.01,0.00
1/4/2019,1.51,1.15,4.14,4.84,0.72,2.15,1.86,1.46,1.84,1.61,nan,0.00,0.27,0.07,0.50,0.84,1.69,1.48,0.47,0.47,0.24,0.04,0.22,0.04
1/5/2019,0.50,0.06,1.07,1.54,0.10,0.24,0.21,0.09,0.01,0.04,nan,0.00,0.04,0.05,0.00,0.18,0.15,0.29,0.05,0.03,0.39,0.36,0.29,0.34
1/6/2019,0.35,0.47,0.43,0.79,0.13,0.27,0.13,0.24,0.08,0.23,nan,0.00,0.01,0.33,0.15,0.59,0.31,0.94,0.25,0.50,0.15,0.94,0.17,0.86
1/7/2019,0.57,0.95,0.87,1.96,0.22,0.62,0.42,0.83,0.76,0.50,nan,0.00,0.01,0.20,0.36,0.25,0.90,0.81,0.51,0.87,0.89,0.52,0.77,0.59
1/8/2019,0.14,0.23,0.28,0.09,0.04,0.06,0.15,0.30,0.26,0.14,nan,0.00,0.00,0.04,0.10,0.09,0.20,0.11,0.23,0.28,0.21,0.76,0.15,0.71
1/9/2019,0.42,0.17,1.31,1.43,0.24,0.60,0.47,0.53,0.32,0.65,nan,0.00,0.36,0.61,0.57,1.27,0.52,1.02,0.46,0.71,0.67,0.80,0.42,0.85
1/10/2019,0.90,0.38,2.62,3.58,0.46,0.78,0.28,0.58,0.81,0.53,nan,0.00,0.23,0.54,0.69,1.43,0.52,1.64,0.20,0.69,0.32,0.76,0.27,0.63
